word,specfiles,rpms,as prefix,as suffix,meaning
libxml,6,9,1,2,
deploy,6,8,0,6,
compiz,6,10,9,0,
md5,6,7,0,4,
snappy,6,11,3,4,
spacewalk,6,6,5,1,
fortran,6,24,0,8,
of,6,8,0,2,
enum,6,8,0,6,
base64,6,9,0,3,
guice,6,21,13,5,
callout,6,14,0,3,
font,6,16,0,5,
py,6,12,1,8,
assert,6,7,0,4,
gonum,6,11,0,0,
gr,6,18,17,0,
jbossws,6,11,11,0,
number,6,7,0,4,
tap,6,7,0,3,
libodb,6,12,11,0,
archiver,6,9,0,5,
equal,6,6,0,5,
passport,6,6,0,1,
spawn,6,7,1,3,
what,6,7,0,3,
